name,operation,key size(B),value size(B),thread,insert size,time(ns),vmrss(KB),file size(B)
Persy,get,8,256,8,9049,19003087478,6763112,7687
Persy,set,8,256,8,9710,20003240605,6763112,7655
Persy,get,8,256,8,9544,20003240605,6763112,7655
Persy,set,8,256,8,10223,21003438896,6763112,7687
Persy,get,8,256,8,10059,21003438896,6763112,7687
Persy,set,8,256,8,10758,22003602723,6763112,7751
Persy,get,8,256,8,10576,22003602723,6763112,7751
Persy,set,8,256,8,11305,23003751872,6763112,7751
Persy,get,8,256,8,11151,23003751872,6763112,7751
Persy,set,8,256,8,11829,24003928613,6763112,7751
Persy,get,8,256,8,11645,24003928613,6763112,7751
Persy,set,8,256,8,12364,25004080557,6763112,7719
Persy,get,8,256,8,12118,25004080557,6763112,7719
Persy,set,8,256,8,12875,26004226840,6763112,7847
Persy,get,8,256,8,12611,26004226840,6763112,7847
Persy,set,8,256,8,13406,27004382141,6763112,7815
Persy,get,8,256,8,13171,27004382141,6763112,7815
Persy,set,8,256,8,13884,28004523946,6763112,7847
Persy,get,8,256,8,13649,28004523946,6763112,7847
Persy,set,8,256,8,14436,29004668486,6763112,7815
Persy,get,8,256,8,14212,29004668486,6763112,7815
Persy,set,8,256,8,14992,30004806113,6763112,7751
Persy,get,8,256,8,14774,30004806113,6763112,7751
Persy,set,8,256,8,15543,31004983816,6763112,7783
Persy,get,8,256,8,15267,31004983816,6763112,7783
Persy,set,8,256,8,16010,32005120652,6763112,12167
Persy,get,8,256,8,15782,32005120652,6763112,12167
Persy,set,8,256,8,16534,33005265602,6763112,12359
Persy,get,8,256,8,16292,33005265602,6763112,12359
Persy,set,8,256,8,16934,34005411235,6763112,16137
Persy,get,8,256,8,16682,34005411235,6763112,16137
Persy,set,8,256,8,17445,35005550355,6763112,16105
Persy,get,8,256,8,17180,35005550355,6763112,16105
Persy,set,8,256,8,17982,36005701107,6763112,16137
Persy,get,8,256,8,17713,36005701107,6763112,16137
Persy,set,8,256,8,18525,37005879861,6763112,16073
Persy,get,8,256,8,18270,37005879861,6763112,16073
Persy,set,8,256,8,19058,38006036424,6763112,16201
Persy,get,8,256,8,18776,38006036424,6763112,16201
Persy,set,8,256,8,19594,39006188869,6763112,16201
Persy,get,8,256,8,19413,39006188869,6763112,16201
Persy,set,8,256,8,20101,40006334842,6763112,16169
Persy,get,8,256,8,19947,40006334842,6763112,16169
Persy,set,8,256,8,20602,41006484191,6763112,16137
Persy,get,8,256,8,20534,41006484191,6763112,16137
Persy,set,8,256,8,21085,42006658648,6763112,16265
Persy,get,8,256,8,21047,42006658648,6763112,16265
Persy,set,8,256,8,21639,43006799381,6763112,16265
Persy,get,8,256,8,21592,43006799381,6763112,16265
Persy,set,8,256,8,22191,44006953079,6763112,16265
Persy,get,8,256,8,22136,44006953079,6763112,16265
Persy,set,8,256,8,22750,45007095284,6763112,16265
Persy,get,8,256,8,22754,45007095284,6763112,16265
Persy,set,8,256,8,23296,46007236488,6763112,16233
